lap_number,total_laps,lap_time,average_speed,max_speed,tire_compound,tire_life_laps,track_temperature,rainfall
1,51,0 days 00:01:33.340000,210.17,326.0,MEDIUM,1,42.5,False
2,51,0 days 00:01:28.012000,236.87,330.0,MEDIUM,2,42.5,False
3,51,0 days 00:01:27.546000,236.4,331.0,MEDIUM,3,43.2,False
4,51,0 days 00:01:27.221000,240.13,341.0,MEDIUM,4,43.2,False
5,51,0 days 00:01:27.033000,236.09,345.0,MEDIUM,5,43.1,False
6,51,0 days 00:01:27.175000,236.74,343.0,MEDIUM,6,43.3,False
7,51,0 days 00:01:26.929000,239.72,340.0,MEDIUM,7,43.6,False
8,51,0 days 00:01:26.943000,238.45,351.0,MEDIUM,8,43.6,False
9,51,0 days 00:01:27.383000,236.81,330.0,MEDIUM,9,43.6,False
10,51,0 days 00:01:27.368000,232.42,331.0,MEDIUM,10,43.9,False
11,51,0 days 00:01:27.343000,237.18,331.0,MEDIUM,11,43.9,False
12,51,0 days 00:01:27.339000,236.76,332.0,MEDIUM,12,43.3,False
13,51,0 days 00:01:27.158000,235.47,330.0,MEDIUM,13,43.1,False
14,51,0 days 00:01:27.607000,235.97,332.0,MEDIUM,14,43.7,False
15,51,0 days 00:01:26.929000,237.04,332.0,MEDIUM,15,43.7,False
16,51,0 days 00:01:27.164000,238.88,333.0,MEDIUM,16,43.9,False
17,51,0 days 00:01:27.156000,235.35,333.0,MEDIUM,17,43.7,False
18,51,0 days 00:01:27.275000,238.66,333.0,MEDIUM,18,43.5,False
19,51,0 days 00:01:27.318000,234.62,333.0,MEDIUM,19,43.6,False
20,51,0 days 00:01:28.284000,235.31,333.0,MEDIUM,20,44.3,False
21,51,0 days 00:01:32.377000,224.11,332.0,MEDIUM,21,44.3,False
22,51,0 days 00:01:47.272000,191.14,322.0,HARD,4,43.7,False
23,51,0 days 00:01:26.849000,236.5,329.0,HARD,5,43.7,False
24,51,0 days 00:01:26.949000,238.49,331.0,HARD,6,43.5,False
25,51,0 days 00:01:26.899000,237.13,331.0,HARD,7,43.5,False
26,51,0 days 00:01:26.792000,238.18,331.0,HARD,8,43.4,False
27,51,0 days 00:01:26.666000,238.7,331.0,HARD,9,43.4,False
28,51,0 days 00:01:26.723000,234.46,331.0,HARD,10,43.3,False
29,51,0 days 00:01:26.997000,236.12,332.0,HARD,11,42.9,False
30,51,0 days 00:01:26.915000,238.87,333.0,HARD,12,42.5,False
31,51,0 days 00:01:26.848000,240.21,335.0,HARD,13,42.8,False
32,51,0 days 00:01:26.747000,235.57,332.0,HARD,14,42.6,False
33,51,0 days 00:01:26.769000,238.33,332.0,HARD,15,42.4,False
34,51,0 days 00:01:26.563000,236.92,332.0,HARD,16,42.5,False
35,51,0 days 00:01:26.517000,239.63,333.0,HARD,17,42.6,False
36,51,0 days 00:01:26.457000,237.1,332.0,HARD,18,42.5,False
37,51,0 days 00:01:26.380000,238.39,333.0,HARD,19,42.5,False
38,51,0 days 00:01:26.574000,237.75,333.0,HARD,20,42.8,False
39,51,0 days 00:01:26.707000,238.65,332.0,HARD,21,42.8,False
40,51,0 days 00:01:26.610000,235.8,333.0,HARD,22,42.8,False
41,51,0 days 00:01:26.815000,236.82,334.0,HARD,23,42.9,False
42,51,0 days 00:01:26.403000,239.47,332.0,HARD,24,42.5,False
43,51,0 days 00:01:26.105000,240.15,334.0,HARD,25,42.5,False
44,51,0 days 00:01:26.155000,241.7,332.0,HARD,26,41.7,False
45,51,0 days 00:01:26.277000,241.25,333.0,HARD,27,41.7,False
46,51,0 days 00:01:26.453000,238.02,335.0,HARD,28,41.8,False
47,51,0 days 00:01:26.912000,236.31,336.0,HARD,29,41.2,False
48,51,0 days 00:01:27.183000,237.42,340.0,HARD,30,41.2,False
49,51,0 days 00:01:27.245000,238.99,335.0,HARD,31,41.0,False
50,51,0 days 00:01:27.360000,237.3,342.0,HARD,32,40.8,False
51,51,0 days 00:01:27.395000,237.13,345.0,HARD,33,40.8,False
